bd-last-year.txt
k=10
Log Likelihood=-14699281.6634
Perplexity=75.1281926618
topic nr: 0
manchester 0.00388121635661
tobacco 0.0038484609227
atletico 0.00378135713376
midfielder 0.00355484980611
bollywood 0.00354268673181
defender 0.0034643990921
colombia 0.00316794469664
topic nr: 1
acquisition 0.00322612404224
shareholder 0.00309183650619
instantly 0.00304099130586
subsidiary 0.00300164804138
diesel 0.00284234691212
approximately 0.00279974341742
fare 0.00278456016475
topic nr: 2
diet 0.00356364572227
profession 0.00346046858254
municipal 0.00336001005213
cook 0.00331337108743
fixed 0.00330056063372
unicef 0.00326578159515
terminal 0.00325053428934
topic nr: 3
greece 0.00324966565096
marine 0.00315104006023
stability 0.00299822229598
neighbouring 0.00298504095564
livelihood 0.00290974546333
paddy 0.00272532983901
expansion 0.00271722325167
topic nr: 4
maldives 0.00327363171411
mosquito 0.00326754065325
harass 0.00325101265281
queen 0.00314914619075
rehman 0.00309473488983
cosby 0.00300620383007
birthday 0.0028496655178
topic nr: 5
erdogan 0.0032347087256
excess 0.00321194958243
swift 0.00306084591091
tripura 0.00299334496192
lake 0.00276478531449
senate 0.00273738273081
hole 0.00273084764762
topic nr: 6
delegate 0.00372314141543
apple 0.00367841732751
respondent 0.00366530136004
disability 0.00362089257009
iranian 0.00345963704192
container 0.00331907596053
boro 0.0032789799476
topic nr: 7
libya 0.00331588523142
wreath 0.00317429418854
indies 0.0031339385733
bakery 0.00305171679126
nizami 0.00303098987515
minar 0.00301347229213
cantonment 0.00299522536923
topic nr: 8
concert 0.00346464581038
afghan 0.00336807633063
poet 0.0033645697212
hair 0.00323492656674
conversation 0.00306947311362
narendra 0.00300139175436
yard 0.0029884620308
topic nr: 9
qatar 0.00395342725383
latif 0.00378517952245
kuwait 0.00335463298435
quake 0.00328160489941
writ 0.00327025285658
bashar 0.00320870425442
booth 0.00320070802814
