bd-last-year.txt
k=13
Log Likelihood=-25076804.3411
Perplexity=128.167826906
topic nr: 0
atletico 0.00487300480273
apple 0.00486660558146
excess 0.00475823049917
manchester 0.00461132344249
midfielder 0.00443378449053
defender 0.00431111195904
cosby 0.00402902105624
topic nr: 1
qatar 0.00513960631324
tobacco 0.00506189904442
bashar 0.00407788978275
lake 0.00405621277517
compensation 0.00379347179375
culprit 0.00341031669596
eid-ul-azha 0.00340555403648
topic nr: 2
marine 0.00469136581972
maldives 0.00445050813598
conservation 0.00397827153044
instrument 0.00386217553194
offshore 0.00383776025166
hong 0.00380381973668
ocean 0.00380336305685
topic nr: 3
sinha 0.00504105121977
fare 0.00468390106835
denmark 0.00464627866872
hair 0.00460344260199
arsenal 0.00411890643637
tarique 0.00408785253738
nominee 0.00371617053975
topic nr: 4
indies 0.00454726072824
wreath 0.00443210966523
skipper 0.00433302585332
batting 0.00400131692935
rehman 0.00398926462383
pill 0.00391959774272
youngster 0.00387510758748
topic nr: 5
respondent 0.00496001264307
delegate 0.00461670949686
profession 0.00450348788086
container 0.0045028466011
mosquito 0.00439947348614
cook 0.00434386736017
avenue 0.00413154607192
topic nr: 6
instantly 0.00367489681302
shareholder 0.00362638390638
acquisition 0.00362457982638
subsidiary 0.00359163194837
tannery 0.00317917799559
approximately 0.00302259585163
aggregator 0.00299860992509
topic nr: 7
libya 0.00445810522885
greece 0.00420159797815
disability 0.00413022793718
afghan 0.00401542964083
nizami 0.0039741512112
iranian 0.00392667810704
kuwait 0.00379359747151
topic nr: 8
terminal 0.00427052837909
smart 0.00424303596592
smartphone 0.00393382104481
labour 0.00377756030483
paddy 0.00376631893738
creative 0.00321569108294
cargo 0.00317281235449
topic nr: 9
latif 0.00396082552588
bakery 0.00369306269168
cantonment 0.00365708659298
miscreant 0.00363992177109
harass 0.00358993021724
mastermind 0.00358273774084
boro 0.00354736992295
topic nr: 10
merger 0.0030731032875
entrepreneurship 0.00301289854993
innovative 0.00289595735082
transportation 0.00284469523028
engagement 0.00282846771295
stability 0.00272948564982
municipal 0.00270083957775
topic nr: 11
taxpayer 0.00489870831076
irregularity 0.00480144131787
char 0.00436584307343
documentary 0.00408287426376
tripura 0.00402980731495
imam 0.00398541049474
diesel 0.00397301480397
topic nr: 12
laundering 0.00472604395395
devotee 0.00453458956853
yard 0.00429008352279
quake 0.00408237792434
booth 0.00392340922449
allowance 0.00385001029374
tenant 0.00383978710308
