au-last-year.txt
k=7
Log Likelihood=-49132109.3197
Perplexity=16.5547149159
topic nr: 0
marvel 0.00151392027057
theatre 0.00149494334945
musician 0.00144913565424
concert 0.00144903786604
solo 0.00141205417016
monster 0.00140821582768
painting 0.00140468199957
pokemon 0.0013638019855
batman 0.00136073413592
friendship 0.00131699698689
topic nr: 1
ladder 0.00177539255102
panther 0.00175321320638
crow 0.00173794723267
sideline 0.00173549266878
halftime 0.00173090837471
leicester 0.00172618364085
disposal 0.0017255349941
cooper 0.00172214508482
quarterback 0.0017193112178
scoring 0.00167092251219
topic nr: 2
enforcement 0.00168569247048
ally 0.00166541679727
contractor 0.00162108905651
iran 0.00161613607951
migration 0.00161443303467
offender 0.00155557471315
investigator 0.00155487428431
seize 0.00152926679461
warrant 0.00152607124702
respondent 0.00151336408325
topic nr: 3
jury 0.00194012905648
breast 0.00182623363117
pharmaceutical 0.00180231448278
harbour 0.00177397239315
diagnose 0.00176146198124
detective 0.00167946725603
clinic 0.00167541667574
conservation 0.00167142187439
vessel 0.00164606023132
toilet 0.00162463453325
topic nr: 4
batsman 0.00198299127698
vegetable 0.00195288436941
chicken 0.00194428317434
liverpool 0.00193013243062
chef 0.00192102713746
tyre 0.00188282730277
coles 0.00186993751991
salt 0.00181465817062
dick 0.00177981447385
grower 0.00174625604025
topic nr: 5
miner 0.00158129628923
lender 0.00157772806534
democrat 0.00157772472344
offset 0.0015755780294
volatility 0.00152016110031
madrid 0.00146333757331
short-term 0.00146077861604
indicator 0.00143617540197
lend 0.00143415101897
expenditure 0.00141638539822
topic nr: 6
copyright 0.00176440050256
lens 0.00175302273676
integrate 0.00170021801727
nasa 0.00167185044235
hybrid 0.00165395431984
audio 0.00162563513019
wireless 0.0016221220423
analytics 0.00160524127538
metropolitan 0.00159534097177
console 0.0015912895315
