bd-last-year.txt
k=10
Log Likelihood=nan
Perplexity=nan
topic nr: 0
turkey 0.00637348342679
clinton 0.00576436878554
russia 0.0055189323904
refugee 0.00509608153037
migrant 0.00502733037646
syrian 0.00466933797347
obama 0.00463608863633
opposition 0.00463571400202
democratic 0.0046232405887
france 0.00426767609078
topic nr: 1
farmer 0.00848771503752
gold 0.00708961539027
crore 0.00648354668719
proposal 0.00620172964136
electricity 0.00576221341215
forest 0.00574972188076
rice 0.00556601826477
agriculture 0.0051767804066
rural 0.00499843552444
railway 0.00478657355997
topic nr: 2
drug 0.00604825187392
korea 0.00596767431997
employee 0.00586450008592
phase 0.00564663930617
peace 0.00558778267179
primary 0.00518001803021
cabinet 0.00508508734221
nuclear 0.00494645185831
mission 0.00486521821781
paper 0.00450886687054
topic nr: 3
quite 0.00431185711173
brand 0.00421636172861
sales 0.00406303932237
actually 0.0039255274729
probably 0.00369194952135
remember 0.00368692110733
solar 0.00360822856614
engage 0.00343123385257
sure 0.00340860247961
advice 0.0033828235986
topic nr: 4
coach 0.00861695442996
stadium 0.00725676562567
tournament 0.00699052987255
beat 0.00668384629955
captain 0.00622492774957
tamim 0.00621048709659
tour 0.00611202688836
miss 0.00609124330525
round 0.00608279885067
victory 0.00600250553018
topic nr: 5
music 0.00671853181034
festival 0.00557965764075
art 0.00505745529301
movie 0.00482344925398
celebrate 0.00438224217795
bengal 0.00437862980669
actor 0.00418186476662
ceremony 0.00408088419992
academy 0.00402115078525
thank 0.00392812661226
topic nr: 6
iran 0.00656309423547
summit 0.00560213236947
britain 0.00529411656381
standard 0.00496812106815
relation 0.0045452382255
credit 0.00451080697723
garment 0.00437123166954
myanmar 0.00431055685294
asian 0.00416969906267
regional 0.00407406555321
topic nr: 7
population 0.00797126820861
religious 0.00715723610223
sentence 0.00597428617552
supreme 0.00586709542081
liberation 0.00515477292655
religion 0.00513995138961
commit 0.004959787394
independence 0.00455643705381
tribunal 0.00449063959092
poverty 0.00423719386034
topic nr: 8
illegal 0.00595341327143
disease 0.00586617640591
operator 0.00584948551271
disaster 0.00517680888337
park 0.00491057943106
damage 0.00475964841394
effect 0.00469129994308
design 0.00432818164316
corruption 0.00409143621521
space 0.00399051516402
topic nr: 9
treatment 0.00661436373027
doctor 0.00644081706314
allege 0.00575212307507
recover 0.00539235253077
assistant 0.00534692052805
afternoon 0.00527432094123
kamal 0.00493836743192
brother 0.00482571314037
metropolitan 0.00474359287006
uddin 0.00443555771906
