bd-last-year.txt
k=7
Log Likelihood=nan
Perplexity=nan
topic nr: 0
spot 0.00552818392571
resident 0.00518350784121
injure 0.00511105269054
raid 0.00487467927019
hasan 0.00476385759312
captain 0.00439968810214
accident 0.00428452361964
recover 0.00423636044091
injury 0.00417949199849
catch 0.00410543663535
topic nr: 1
clinton 0.00552889481706
card 0.00405170242161
forest 0.00392737846742
customer 0.00372076796066
brand 0.0036028434072
republican 0.00354090995058
profit 0.00341294731377
independent 0.00313698138286
black 0.00307354771224
presidential 0.0030084630505
topic nr: 2
language 0.00574444466555
violence 0.00481683052377
traffic 0.00434987656078
bengal 0.00413919792166
turkey 0.00407289055212
nuclear 0.00405542975687
iran 0.00398896888895
pakistani 0.00395128378616
opposition 0.00338086995207
syrian 0.00318875597354
topic nr: 3
loan 0.00570614545807
budget 0.00523654085307
fiscal 0.00390058403664
capacity 0.00347963586025
duty 0.00344106409479
fuel 0.0034317298983
potential 0.00338052045268
promote 0.00329002291257
sustainable 0.00328871639493
refugee 0.003267801722
topic nr: 4
champion 0.00574237895272
farmer 0.00572731870341
airport 0.00571723620116
myanmar 0.00514567664167
draw 0.00490060335062
festival 0.00461799458288
asian 0.00401606545303
gold 0.00400654773986
route 0.00393186983655
cross 0.00381441791577
topic nr: 5
music 0.00505900503814
video 0.00505636441965
disease 0.00442010346305
love 0.00441395081422
drug 0.00440004982455
engineering 0.00438584683045
science 0.00424446232271
care 0.00422182097856
treatment 0.00405392114239
platform 0.00376723458059
topic nr: 6
submit 0.00513719100078
lawyer 0.00491316313124
railway 0.00475546938571
sentence 0.00461143195796
khaleda 0.00459143596298
guest 0.0043822811505
petition 0.00435870857201
request 0.00425466801443
supreme 0.00397992668034
allegation 0.00388655110481
