ca-last-year.txt
k=7
Log Likelihood=-52021856.9503
Perplexity=16.909423059
topic nr: 0
nursing 0.00175163261883
lung 0.00171984265588
yoga 0.00171691269246
howe 0.00170716482286
healthcare 0.00169366298082
oral 0.00166445456079
enroll 0.00166117146491
fentanyl 0.00164953304955
dental 0.0016415893895
therapeutics 0.00162695306278
topic nr: 1
pepper 0.00138354200368
jazz 0.00137310358875
blaze 0.00137283047821
lawn 0.00135875493944
costume 0.0013576975168
artistic 0.00134085306165
guitar 0.00133623782543
cheese 0.00131663578767
bedroom 0.0013102928806
chocolate 0.00129390012249
topic nr: 2
tension 0.00138242249611
accused 0.00136373125892
terror 0.00135319940017
copyright 0.00134966007023
sanction 0.00134819856219
robbery 0.0013479606112
arabia 0.00134750114552
prayer 0.00134533530274
homicide 0.00134522197069
parliamentary 0.00132603608308
topic nr: 3
amazon 0.00164596739984
harry 0.00164424679456
duffy 0.0016192762014
cyclist 0.00156888875471
creator 0.00154855514827
phillips 0.00149102983773
cheque 0.0014499489157
millennials 0.00142328325625
stolen 0.00141989191456
earthquake 0.00141741233858
topic nr: 4
fossil 0.00171338351071
helicopter 0.00166210799538
fastest 0.0016252130233
tracking 0.00157516738877
hectare 0.0015714289559
brook 0.00155929923037
evacuation 0.00155567472389
nevada 0.00149517182598
meter 0.00148330627171
deployment 0.00145179400871
topic nr: 5
fitch 0.00169395592091
cruz 0.00167104369062
consolidated 0.00165686862924
redistribution 0.00163780829353
wynne 0.0016319363225
issuance 0.00162853100929
benchmark 0.00160812774064
petroleum 0.00160289741054
liquidity 0.00159759539163
monetary 0.00156183699055
topic nr: 6
scout 0.00149776838396
eighth 0.0014954777034
panther 0.00144925883457
backup 0.00143405974893
moose 0.00141997932638
winger 0.0014193423213
ninth 0.00141400563089
bounce 0.00141279421647
coaching 0.00139682658143
slam 0.00139147002896
