gb-last-year.txt
k=7
Log Likelihood=-53460349.8788
Perplexity=15.5830775411
topic nr: 0
therapy 0.00169541858945
gene 0.00165940820982
dna 0.00162741233602
carolina 0.00158787177556
donor 0.00158040684766
scan 0.00157256549705
heathrow 0.0015724503019
mitchell 0.00152863399502
erdogan 0.00152546884144
nazi 0.00147500309038
topic nr: 1
wimbledon 0.00175216121444
dish 0.00175169562363
milan 0.00172663283453
plate 0.00172411682798
salt 0.00168903380821
cream 0.00162404492233
diego 0.00160465827302
munich 0.00158411157584
baker 0.00158104579258
soil 0.00152804231921
topic nr: 2
egypt 0.00156486105411
missile 0.00154289742664
extremist 0.00154119905667
moscow 0.00151658546903
commander 0.00151028503718
resignation 0.00150063382317
nato 0.00149521684331
fighting 0.0014910805051
nicola 0.00148707014652
libya 0.00147574659721
topic nr: 3
plea 0.0016108811041
devon 0.00152649573159
sexually 0.00152552284519
norfolk 0.0015220332564
boyfriend 0.00149384795464
tata 0.00144200965346
katie 0.00142647955679
grammar 0.0013779487301
bully 0.00137401870814
netflix 0.0013664141946
topic nr: 4
firefox 0.00169636335716
clark 0.00166809650146
spearhead 0.00164814600396
prix 0.00163559512553
burnley 0.00163414229044
josh 0.00162445397543
huddersfield 0.00161887120766
vardy 0.00158382937008
murphy 0.00157024837209
rover 0.0015616241168
topic nr: 5
script 0.00146859097084
opera 0.00144459938003
premiere 0.00139596178667
somme 0.00137607825435
elephant 0.00136091618756
ghost 0.00132511168236
costume 0.0012953511474
creator 0.00126309183336
visual 0.00125900556854
architect 0.00123943807042
topic nr: 6
deposit 0.00144600091964
samsung 0.00144344226201
ftse 0.00143627908966
start-up 0.00143203671429
workforce 0.00140199697497
dividend 0.00140090590582
hong 0.00139304921758
hike 0.00137610259517
carney 0.00137185858477
output 0.00136541542546
