hk-last-year.txt
k=7
Log Likelihood=nan
Perplexity=nan
topic nr: 0
insurance 0.00390741488517
secure 0.00366770925024
marketing 0.00354030301511
green 0.00343068961977
partnership 0.00316921397995
approximately 0.00312776126615
card 0.00303227947396
software 0.00299697100633
implement 0.00297588422922
connect 0.00289898919569
topic nr: 1
flat 0.0061166185053
score 0.00584551249686
camp 0.00561911014361
bill 0.00530022269168
english 0.00510322835023
goal 0.00501603585197
democratic 0.0048318397651
seat 0.0044872123632
territory 0.00438833224668
independent 0.0042625702093
topic nr: 2
material 0.00443156371056
music 0.00418923961006
fujitsu 0.00398772595794
restaurant 0.00374257877721
commitment 0.00299766916148
beer 0.00298492483899
page 0.00298242147643
block 0.00293745705368
bar 0.0028421655292
something 0.00277919235183
topic nr: 3
military 0.0057226934674
ministry 0.00507273287742
prime 0.00473846933018
obama 0.00451335795619
war 0.00424954272073
communist 0.00413477383909
australian 0.00409697962612
speech 0.00365054472219
relation 0.00364359516002
russian 0.00344669120554
topic nr: 4
decline 0.00543096525786
shenzhen 0.00481385023466
feed 0.00477708519407
hang 0.00411785097814
monetary 0.00373235823442
analyst 0.003475261199
slow 0.00336483791215
export 0.0033283000208
shareholder 0.00326753230474
february 0.00324841693045
topic nr: 5
death 0.00468611918056
incident 0.00456458648369
parent 0.00409383958319
airport 0.00396941137825
die 0.00375882690907
suspect 0.00373910885522
passenger 0.00361934112878
drug 0.00329237910856
teacher 0.00326542122829
surname 0.00323032924185
topic nr: 6
vehicle 0.00501345453383
watch 0.0048821386233
fashion 0.00482338499124
alibaba 0.00478042820297
sport 0.00458249780862
star 0.00432317791153
luxury 0.00428929183126
culture 0.00396766283513
fan 0.00391793554539
story 0.00378423880226
