ie-last-year.txt
k=7
Log Likelihood=-41646349.6927
Perplexity=14.3229630438
topic nr: 0
klopp 0.00218931513588
sunderland 0.00195903594109
pope 0.00195142252374
bray 0.00194186433149
spur 0.00193529292291
coleman 0.00189422299157
eric 0.00185419575246
horgan 0.00181764592742
boxer 0.00179589017162
stoke 0.00176908237193
topic nr: 1
constituency 0.00215741434386
hamilton 0.00213491733967
bail 0.00211910742932
illegal 0.0020774447725
licence 0.00197484276722
tyre 0.001972426165
nama 0.00196748988039
residential 0.00195233060925
ronaldo 0.00192220458105
proceed 0.00191121214617
topic nr: 2
banking 0.00205511354376
membership 0.00204168202562
earnings 0.0020251597967
birdie 0.0019894636198
tech 0.00198840994569
premium 0.00198440280906
conservative 0.00197249600793
saving 0.00193616598457
expansion 0.00192899161761
overseas 0.0019032704253
topic nr: 3
sugar 0.00210821274918
diet 0.00208618230704
lunch 0.0020499582266
symptom 0.0019558134974
clothes 0.00185004951601
meat 0.00184494596664
supermarket 0.00183707587801
shoe 0.00180000510404
cell 0.00179493290627
lifestyle 0.00179284806447
topic nr: 4
glasgow 0.00200555417374
sexton 0.00198828769977
anglo 0.00198683303702
willie 0.00192607363244
farrell 0.00191117849506
rider 0.00188514344793
provincial 0.00188444529218
athletics 0.00188363208959
cullen 0.00187556277856
o'leary 0.00187056747034
topic nr: 5
rear 0.00186974242037
centenary 0.0018086870823
religious 0.00179892347476
pearse 0.00176663186468
shower 0.0017320640031
tragic 0.00166428676789
killing 0.00166036466246
rail 0.00163281135221
gender 0.0016176255573
memorial 0.00161720992595
topic nr: 6
nominate 0.00177379361667
justin 0.00177119833266
photographer 0.00176339755184
recording 0.00175062322448
fame 0.00169876645614
solo 0.00168873233014
advertiser 0.00167373925921
script 0.00165178906001
girlfriend 0.00163032726202
blog 0.0016093526813
