in-last-year.txt
k=7
Log Likelihood=-56549719.7995
Perplexity=14.3078471402
topic nr: 0
puja 0.00188714783416
surrender 0.00187625091578
dhaka 0.00184501253575
bribe 0.00184287458766
pilgrim 0.00182518463926
procession 0.00181956202684
anti-national 0.00179473404942
ganesh 0.00178078662183
azad 0.00177394469407
motorcycle 0.00176990217159
topic nr: 1
planet 0.00201558613233
sand 0.00196909537052
mahindra 0.00192158114013
prisoner 0.00189525352857
kilometre 0.0018936622205
meter 0.0018189181036
agra 0.00179102357278
encroachment 0.00177627403981
missile 0.00177044801449
celsius 0.0017539435047
topic nr: 2
dividend 0.00188384446385
levy 0.00188028303335
subsidiary 0.00183509928363
organic 0.0018103988753
notify 0.00177970566773
banker 0.00175552975578
dish 0.00175364976358
dues 0.0017529826225
meat 0.00172830585659
arbitration 0.00171785076005
topic nr: 3
sultan 0.00175565292255
kapil 0.00174185558457
amitabh 0.00172275615754
classic 0.0017104759885
telugu 0.00168019349818
comic 0.00162451663603
happiness 0.00162177178167
viewer 0.00160363715079
poet 0.00156683412651
divorce 0.00156156230238
topic nr: 4
rider 0.00191754530013
zimbabwe 0.00189842149329
rohit 0.00188669977373
plenty 0.00184173396843
spain 0.00182258911819
stump 0.00181824755881
seventh 0.00178375684935
russell 0.0017679247191
qualification 0.00173674147171
tendulkar 0.00170082225199
topic nr: 5
library 0.002005830847
seller 0.00199746554632
mall 0.00197201225087
offering 0.00195557320583
retailer 0.00182864390763
infosys 0.0018232597497
microsoft 0.00180672888687
publication 0.00180627882239
bharti 0.00178658124039
chrome 0.0017828865227
topic nr: 6
hillary 0.00171171696097
pray 0.0017063950098
mill 0.00167449053171
conservative 0.00167415073261
moral 0.00164116531451
accurate 0.00159323279526
liberal 0.00157441870864
throne 0.00156165757561
collective 0.00155472177698
deeply 0.00154641111059
