jm-last-year.txt
k=7
Log Likelihood=nan
Perplexity=nan
topic nr: 0
port 0.00497668546961
bill 0.0048739045747
virus 0.00470068602393
conference 0.00454264433379
resource 0.00447755949712
urge 0.00426993377933
union 0.00414245160343
risk 0.00399655024512
standard 0.00394442832783
safety 0.00388757899609
topic nr: 1
candidate 0.00381913961072
violence 0.00374082951508
attack 0.00349507177071
nothing 0.0034740818112
politics 0.00336218238481
constituency 0.00333078737582
labour 0.00330425628937
seat 0.00326119820766
portia 0.00320004141951
gayle 0.00313869279282
topic nr: 2
billion 0.00585817340039
income 0.00474754597443
primary 0.00468661162776
phillips 0.00458256387794
poor 0.00450520225801
cancer 0.00444849453227
earn 0.00410149655868
skin 0.00373899890757
target 0.00368702775414
exercise 0.0036107577374
topic nr: 3
cricket 0.0087273793838
committee 0.00531860788052
station 0.00518353941814
murder 0.00476656211337
investigation 0.00471580154748
attorney 0.00434477476406
legal 0.00416810023004
arrest 0.00391604221099
limited 0.0037407762822
driver 0.00358251428942
topic nr: 4
farmer 0.00570615824967
car 0.00540327716496
sometimes 0.00457083236736
agriculture 0.00452297688625
husband 0.00439887118624
walk 0.00426697313545
anything 0.00414758354894
wife 0.00393165966371
someone 0.00373056728702
complainant 0.00368736269164
topic nr: 5
champion 0.00649805544668
football 0.00587456078842
coach 0.00580769516481
hurricane 0.00578366722304
minute 0.005449579882
score 0.00535974724033
williams 0.00529891194017
athlete 0.00529556507408
olympic 0.00515372193771
championship 0.00466909496782
topic nr: 6
video 0.00595713686542
perform 0.00482846757461
sound 0.00481824629906
dream 0.00467063566022
career 0.00464539650068
dance 0.00438546672333
popular 0.00421905791143
marley 0.0041034220878
celebrate 0.00399891962741
singer 0.00394288788424
