ke-last-year.txt
k=7
Log Likelihood=-13237259.3915
Perplexity=16.8878782589
topic nr: 0
innovation 0.00334913476056
profit 0.0032642109604
machine 0.00325433022176
farming 0.00323247604643
consumption 0.00318836821149
internet 0.0031528306708
netherlands 0.00312929989388
planning 0.00307765265255
healthy 0.0030501143751
wholesale 0.00302206903848
topic nr: 1
stakeholder 0.0030278119133
debt 0.00288697931093
aid 0.00288329285687
foundation 0.00283615753403
drought 0.00283470980796
audit 0.00279908571896
protection 0.00277877329867
cite 0.0026994644544
funding 0.00267384084717
relation 0.00265466208013
topic nr: 2
motor 0.00367967685748
italy 0.00362252481233
florida 0.00361758526271
automotive 0.00358812224271
madrid 0.00347100424041
england 0.00341318374716
reporting 0.00337615144278
squad 0.00334398643536
guidance 0.00334331088737
arsenal 0.00330626105126
topic nr: 3
silver 0.00420515584713
compete 0.00380927970926
boston 0.0037952708377
russian 0.00358386950402
worldwide 0.00346080528283
giant 0.00343666773833
burundi 0.0033608958546
choice 0.00325651089242
hair 0.00312219700958
foot 0.00308358365579
topic nr: 4
prison 0.0035667597909
electric 0.00347278457545
college 0.00327364203022
athletics 0.00325006348885
certificate 0.00315264422473
computer 0.00310067462895
midstream 0.00309416802894
flight 0.00302361337083
registration 0.00301605299304
maker 0.00294987961673
topic nr: 5
daughter 0.00294700834133
henry 0.0027743410502
wonder 0.00264749256796
remember 0.00264709435039
picture 0.00264077153321
true 0.00262659167573
piece 0.00256090413872
brown 0.00246510576
radio 0.00246409913346
sing 0.00236147483741
topic nr: 6
resort 0.00330417890376
dead 0.00315757106757
rift 0.0031256786917
unity 0.00310757758025
motion 0.00303910698653
elder 0.00303135176295
speaker 0.00301379623429
meru 0.00301336219589
dismiss 0.00295320198262
legislator 0.00286283956398
