lk-last-year.txt
k=7
Log Likelihood=nan
Perplexity=nan
topic nr: 0
submit 0.00472849348261
fishing 0.00463898932613
refugee 0.00419017833549
coal 0.00413095075164
illegal 0.00397058047431
flood 0.00388523417422
electricity 0.00387112358702
disaster 0.0038370799504
allege 0.00382193895545
complaint 0.00377864070329
topic nr: 1
elephant 0.00620019833405
consumer 0.00474312374198
compare 0.00470809246545
disease 0.0044094310076
decline 0.00434582786339
production 0.00433265573697
crisis 0.00380696174951
rating 0.0037196216577
fiscal 0.00364848187019
payment 0.00364066887343
topic nr: 2
murder 0.00309268045556
civilian 0.00308228091169
indirectly 0.00304453966064
solely 0.00301841938791
ethnic 0.00301377083939
democracy 0.00297238864939
democratic 0.00296790057397
nothing 0.00296052160321
reflection 0.002959735346
front 0.00293589414758
topic nr: 3
ship 0.00522007082358
brand 0.0052192264757
ambassador 0.00514481031455
tourist 0.00453603809853
cinnamon 0.0043493578631
delegation 0.00424463101763
germany 0.00422346580116
customer 0.00420047090374
flight 0.00406240107685
naval 0.00396497299266
topic nr: 4
science 0.00526040240464
space 0.00464800982916
approach 0.00384742303672
summit 0.00339121154015
importance 0.00326707864449
korea 0.00326230514269
regional 0.00324688306183
participation 0.00304581848037
judicial 0.00292330273747
forum 0.00287141003927
topic nr: 5
coach 0.00626755550429
england 0.00593275816901
captain 0.0058198239084
ball 0.00567042973474
competition 0.00523785776703
royal 0.0052008115838
season 0.00519000360907
championship 0.00500123293464
zealand 0.00467368949871
league 0.0045904103712
topic nr: 6
girl 0.00466500251396
music 0.00440651243792
buddha 0.00411542450756
temple 0.00410077719873
walk 0.00392039223417
parent 0.00386557329013
doctor 0.00329140473927
monk 0.00321068357758
tree 0.00319504749901
teacher 0.00319167862478
