my-last-year.txt
k=7
Log Likelihood=-23256304.1635
Perplexity=17.2516064967
topic nr: 0
automotive 0.00279935168964
litre 0.00275228221264
qualify 0.00274063906278
spain 0.00268702963054
circuit 0.00264348618548
electric 0.0026263559784
silver 0.0025390821711
auto 0.00250001462412
suspension 0.0024757044922
corner 0.00243535396362
topic nr: 1
secretary-general 0.00296495022167
allege 0.00296238538785
penh 0.00294110565451
phnom 0.0029001761719
guan 0.00282465336921
anti-corruption 0.00277364240916
probe 0.00274977490064
salary 0.00273511168052
rape 0.00267022033391
attorney-general 0.00266561069637
topic nr: 2
republican 0.00301999271571
terrorism 0.00291107998214
nigeria 0.00289042212217
eastern 0.00287018106006
nickname 0.00268708436284
rebel 0.00266121175184
weapon 0.00261840896761
african 0.0025181727955
intelligence 0.00246972055278
refrain 0.0024452969615
topic nr: 3
gdp 0.00305442129667
leicester 0.00303284159794
overweight 0.00302213183233
monetary 0.0029492784399
momentum 0.00286065144301
traded 0.00285348907243
lower 0.00279378567786
prospect 0.00277632587841
economist 0.00277500860738
inflation 0.00273723640128
topic nr: 4
batu 0.00286103241218
rain 0.00284629825093
climate 0.0027998015701
temple 0.00270908715327
environmental 0.00268406335936
rubber 0.00258895964468
sustainable 0.00258774940082
plantation 0.00242022251977
alam 0.00238502176178
kampung 0.00237573419522
topic nr: 5
paul 0.00242793245353
audience 0.00239960142332
hadi 0.00233897957929
jesus 0.00224612135394
cultural 0.00224048843173
belief 0.00217275879941
bishop 0.00215967543891
forget 0.00215580964627
understanding 0.00213831455874
marriage 0.0021279717135
topic nr: 6
airasia 0.00307740880796
tech 0.00296126086068
licence 0.00283677312039
physical 0.0026484699391
custom 0.00260028654064
computer 0.0024150257152
samsung 0.00228552417835
noor 0.0022397413283
hire 0.0021928253417
researcher 0.00218406567814
