ng-last-year.txt
k=7
Log Likelihood=-31526744.2664
Perplexity=14.3726002807
topic nr: 0
fifa 0.00359593257091
championship 0.00346688549589
penalty 0.00342809897596
midfielder 0.00335181981836
saudi 0.00325797654105
barcelona 0.0031597197671
wenger 0.00313709774768
kick 0.00308343083739
defender 0.0029933014443
fourth 0.00297704061643
topic nr: 1
internally 0.00314420641512
displaced 0.00312775881163
spread 0.00298939371361
coordinator 0.00295406401755
assistance 0.00295345522558
admission 0.00291613311302
environmental 0.00289427741489
humanitarian 0.00287718303893
welfare 0.00282175965668
affected 0.00274323766874
topic nr: 2
delegate 0.00267526959748
faction 0.00262822089373
senatorial 0.00256885182748
secretariat 0.00252764156572
clinton 0.00250091927538
obama 0.00239099474923
monarch 0.00232355559063
olusegun 0.00230496131877
jibrin 0.00229228788429
rerun 0.00228233253494
topic nr: 3
sentence 0.00303890329059
commander 0.00303086545393
kidnapping 0.00291611779786
jail 0.00286505964834
deceased 0.00285911483105
avenger 0.00282880405239
jurisdiction 0.00280248817367
detention 0.0028024004483
robbery 0.00278945405476
spokesperson 0.00276677616415
topic nr: 4
album 0.00314386163239
device 0.0031147305143
tourism 0.0030594588594
category 0.00302129644559
marketing 0.00298819325773
cultural 0.00288156165445
athlete 0.00287992942594
connect 0.00273850519651
artiste 0.00273497611222
unique 0.00271177031227
topic nr: 5
wedding 0.0028682875354
beautiful 0.00283531622573
.... 0.00272229403015
married 0.00260134600926
wake 0.00257838629192
feeling 0.00257656789338
imagine 0.00254514853183
smile 0.00251285742783
male 0.00247530389254
actress 0.00242390117727
topic nr: 6
stock 0.00282641756922
trillion 0.0028214959669
mineral 0.0027763547325
trader 0.00273801226089
fiscal 0.00272038742341
solid 0.0027133066256
regulatory 0.00267281694335
manufacturing 0.00262765734869
scarcity 0.00262376489971
maritime 0.00260163591515
