nz-last-year.txt
k=7
Log Likelihood=-31897546.1715
Perplexity=16.8840212318
topic nr: 0
musical 0.00197371904839
kate 0.00195933592358
globe 0.00193151045073
sailor 0.00191896880447
wedding 0.00189654164194
solo 0.001888047358
architecture 0.0018845503026
architect 0.00184615799428
finalist 0.00182954155837
parade 0.00178751032733
topic nr: 1
operating 0.00206360019035
copyright 0.00202961230051
prohibit 0.0020252300892
capability 0.00200059510841
equity 0.0019956180632
strategic 0.00196973208002
microsoft 0.00195981260662
governance 0.00195696136868
broadband 0.00195029886291
premium 0.00192475441879
topic nr: 2
papua 0.00232067994181
samoa 0.00228012743038
coastal 0.00211157878246
taupo 0.00204782624199
fault 0.0020030336075
battery 0.00196999684855
hectare 0.00192268937111
flooding 0.00185591317178
solar 0.00183252712056
maintenance 0.00181601424278
topic nr: 3
defender 0.00206508874318
halftime 0.00204478000991
defensive 0.00203342456462
winning 0.00200219543861
thompson 0.00199757347073
surf 0.00199570978898
netball 0.0019956230166
prop 0.00199189781637
hansen 0.0019871953975
adam 0.00198243740608
topic nr: 4
gender 0.00212352038192
prosecutor 0.00212254604898
nomination 0.00211765070304
criticize 0.00210324974606
supreme 0.0020802274081
allegedly 0.00207753911625
rape 0.00204163874038
suspend 0.00203836070339
referendum 0.00202469070315
tobacco 0.00201924272189
topic nr: 5
planet 0.00219309225243
virus 0.00209751501698
nurse 0.00204652213178
breed 0.00202219946025
bomb 0.00198714859559
pest 0.00197134859307
wildlife 0.00195084253604
breast 0.00190516732937
clinical 0.00190374356363
muslim 0.001849188454
topic nr: 6
breakfast 0.00196825579775
chef 0.00194275562221
sweet 0.00194073704081
dish 0.00193985697549
chicken 0.00181148313364
flower 0.0017939160523
cheese 0.00174129925963
vegetable 0.00169103907078
menu 0.00164455137102
soft 0.00163938175936
