ph-last-year.txt
k=7
Log Likelihood=-29331403.0791
Perplexity=16.9812671246
topic nr: 0
weapon 0.00226527246621
argue 0.00226432517313
cease-fire 0.00222137661671
criticism 0.00218709006031
argument 0.00214438291657
miriam 0.0021302110398
electoral 0.002120129099
border 0.00211381757197
criticize 0.00211120189082
regime 0.00208875961526
topic nr: 1
dengue 0.00268456098199
plastic 0.00244194543517
researcher 0.0023915378197
awareness 0.0023907074632
sugar 0.00237558566685
scientist 0.00233590543537
accident 0.00228269381043
organic 0.00222644632558
garden 0.00219725688789
vegetable 0.00216369991115
topic nr: 2
laundering 0.00241033326228
joke 0.00237253107137
earthquake 0.00226729842
bangladesh 0.00221166536222
episode 0.00214433330412
lesson 0.00211649071038
iran 0.00206130929709
drama 0.00193243121018
emission 0.00189091594597
laugh 0.0018136089829
topic nr: 3
isolated 0.00253467079654
firearm 0.00250519598749
leyte 0.00248815997259
supt 0.00248002448659
raid 0.00240132416398
coordinate 0.00238161934696
naia 0.00237849907647
thunderstorm 0.0023615055189
moderate 0.00225346227425
calamity 0.00224137588446
topic nr: 4
principal 0.00235542762853
constitute 0.00234283976192
inclusive 0.00232806109838
regulatory 0.00230801142147
spending 0.00228291324341
minimum 0.00227769394058
currency 0.00227147110386
gdp 0.00224487849847
taiwan 0.00223734125248
liability 0.00222967804945
topic nr: 5
boxer 0.00244666794922
eagle 0.0024345257249
knockout 0.00239251077555
junior 0.00236153247419
brazil 0.00235331793691
vegas 0.00231339088782
playoff 0.0022993966717
hole 0.00224074996941
chris 0.00213461053365
copyright 0.00211969119557
topic nr: 6
prayer 0.00248368597348
pray 0.00247108900581
motor 0.00242333810729
taste 0.00241725324623
dress 0.0023873352311
queen 0.00234557231331
classic 0.00218672073581
dinner 0.00218548482753
pop 0.00215669394098
comfort 0.00210730370311
