pk-last-year.txt
k=7
Log Likelihood=-25401662.842
Perplexity=15.2156879299
topic nr: 0
fee 0.00282255110957
audit 0.00263854089833
drink 0.00256492047424
transmission 0.00239368998401
weight 0.00237472153319
orange 0.0022713680012
ordinance 0.00226167458223
faculty 0.00223294793878
panel 0.0022250136597
monitoring 0.00220652510201
topic nr: 1
rana 0.00287117448328
tenure 0.00279217414996
kamal 0.00271893869445
sardar 0.00268826125285
javed 0.00264966889966
haider 0.00259745447987
gathering 0.00253209731349
plea 0.00248852880419
ghulam 0.00247441710002
khattak 0.00247404645479
topic nr: 2
congress 0.0022333355109
erdogan 0.00211641462222
coup 0.00208263786614
unity 0.00205235984829
hate 0.00199720396818
truth 0.00199183227776
faith 0.00197842276376
consequence 0.00197424381357
mullah 0.00190445552351
elite 0.00188611299722
topic nr: 3
medal 0.00317318371279
prison 0.00315918129235
italy 0.00314021063423
brussels 0.00303982507606
plane 0.00303458556796
gate 0.00284438491221
policeman 0.00282334198173
seize 0.00280825034512
penalty 0.00269517992299
olympic 0.00263335420972
topic nr: 4
buyer 0.00284601531606
dengue 0.00283637490568
retail 0.00281156963819
holiday 0.0028113810245
lower 0.00280326309116
dealer 0.0027564042635
seed 0.00274969914375
outlook 0.00274273977155
treasury 0.00273723868693
grade 0.00269380953905
topic nr: 5
china-pakistan 0.00312910531742
highway 0.00295580937939
census 0.00281789118619
operational 0.00280400362731
atrocity 0.00273608887699
nigeria 0.00266398580117
srinagar 0.0026492173675
gwadar 0.00262466631078
demonstration 0.00257581772151
environmental 0.00251535081765
topic nr: 6
style 0.00255837683414
singer 0.00255819743821
ranking 0.00251079746452
google 0.00249470911842
innings 0.00241970135831
smartphone 0.00239379205124
dress 0.00233469157565
bowl 0.00227250262592
boundary 0.00218872345413
debut 0.00218153119975
