sg-last-year.txt
k=7
Log Likelihood=-27587089.2255
Perplexity=16.7776818238
topic nr: 0
hollywood 0.00218246678199
viewer 0.00214918185567
beautiful 0.00207806890391
mountain 0.00207657757049
album 0.00199439503751
hero 0.00199225727079
concert 0.00199102232106
wild 0.00195972034668
trailer 0.001941082024
lake 0.00187800684491
topic nr: 1
slowdown 0.00238116972217
merger 0.00228194448667
deutsche 0.00226772215513
coal 0.0022413854419
turkish 0.00223317468717
completion 0.00222734677925
slump 0.00222311846554
flood 0.00221926763222
dengue 0.00220722277456
collapse 0.00219142146543
topic nr: 2
detain 0.00211622013596
malay 0.00208526273184
narendra 0.002077669029
religion 0.00207072012389
punjab 0.00199903153352
rape 0.00199464408476
resign 0.00197717046203
dismiss 0.00189683699388
hindu 0.00187233520328
civilian 0.00186140740383
topic nr: 3
vendor 0.00237289748948
container 0.00228695594603
chef 0.00222790581719
plastic 0.00220026643479
dinner 0.00216188182411
robot 0.00209891860319
wireless 0.0020894320549
glass 0.00205967315598
chicken 0.00205487819924
beer 0.00205453977253
topic nr: 4
maritime 0.00241681122202
residence 0.00235991993015
xx_r 0.00229154491499
philippine 0.00210218540503
warrior 0.00209478288292
ambassador 0.00207290375562
airbus 0.00205750349822
ukraine 0.00205570427393
boeing 0.00201642343222
slam 0.00201403950743
topic nr: 5
habitat 0.00248356111956
surgery 0.00240164739647
reit 0.00233833012555
rural 0.00229736185008
schooling 0.00224224564636
joseph 0.00221118272871
subscription 0.00221064757033
stroke 0.00215745151194
wang 0.00215487847137
privacy 0.00214491943835
topic nr: 6
telecom 0.00226016273716
engagement 0.00219920843378
workplace 0.00210918498124
discount 0.00210329210588
integration 0.00208688498921
transformation 0.00208413329848
feedback 0.00207943914708
sustainability 0.00205864774251
transition 0.00203359781808
facilitate 0.00200111943327
