bd-last-year.txt
k=7
Log Likelihood=-7228980.55495
Perplexity=36.9474003095
topic nr: 0
apple 0.00271883547807
tobacco 0.00270329628857
marine 0.00256863371056
mineral 0.00254898414732
fare 0.00253477323701
restore 0.00249883642677
municipal 0.00241912432666
topic nr: 1
laundering 0.00254126418922
sinha 0.00245388351179
irregularity 0.00242740810353
bakery 0.00233600815983
guilty 0.00233292325893
nizami 0.00231456332976
custody 0.00229555061957
topic nr: 2
poet 0.00256790365209
concert 0.00256311260664
wreath 0.0025311028426
devotee 0.00243418049944
diet 0.00242593137009
minar 0.00241057258302
profession 0.00239908906959
topic nr: 3
greece 0.00242069797129
bollywood 0.00233130859186
hair 0.00231666793035
slum 0.00225082993981
rehman 0.00208207419665
asylum 0.00197088546676
lake 0.00193636244211
topic nr: 4
delegate 0.00242687454331
libya 0.00241846548128
excess 0.00241666931691
qatar 0.00241343265025
judiciary 0.00222546192456
iranian 0.00213322972006
isis 0.00211999453102
topic nr: 5
manchester 0.00268009609943
atletico 0.00260899382669
indies 0.00252998508936
midfielder 0.00245444014223
afghan 0.00244083587831
skipper 0.00241719207324
encounter 0.00241208416013
topic nr: 6
approximately 0.00227337868286
disability 0.0022371796292
taxpayer 0.00220866521567
respondent 0.00214883663597
unicef 0.00212689009686
subsidiary 0.00208596302576
container 0.00208190713614
