tz-last-year.txt
k=10
Log Likelihood=nan
Perplexity=nan
topic nr: 0
sudan 0.00687762617116
france 0.00639329253329
japan 0.00578662502318
episode 0.00509812509343
switch 0.00496462542216
on-demand 0.00496430846203
linear 0.00467161915871
topic nr: 1
speaker 0.0074820322555
class 0.00712174972295
ethics 0.00610666927801
chairperson 0.00514589184805
examination 0.00482547876127
workshop 0.00466229644331
dispute 0.00451361145421
topic nr: 2
plot 0.00695867604735
demolition 0.00650902802615
servant 0.0058286800876
dodoma 0.00553274128785
shein 0.00546484343234
dish 0.00537848259944
machine 0.00493956613299
topic nr: 3
miner 0.0068551285757
mining 0.00658054158125
tonne 0.00650645474073
tobacco 0.00580203506792
waste 0.00536268374426
contractor 0.00502337632941
employ 0.00480078848882
topic nr: 4
spanish 0.00708078747199
smart 0.00706197437318
studio 0.00699826376799
cement 0.00698453999374
egypt 0.00641148463369
connected 0.00605059687751
ultra 0.00584571935807
topic nr: 5
suspect 0.00787785388
night 0.00765397542726
alcohol 0.00741242290969
tourist 0.00571939438323
islamic 0.00496474587962
drink 0.0047905488093
telecommunications 0.00423508306496
topic nr: 6
prosecution 0.00744557249001
magistrate 0.00710966855743
procedure 0.00668846252841
offence 0.00561060605198
fine 0.00544018521706
allege 0.00481980293908
accused 0.00474881042422
topic nr: 7
nyerere 0.00932778802343
accident 0.00808113617546
kagera 0.0075964469445
bridge 0.00684958676911
rally 0.00554186151694
love 0.00552146574828
motor 0.00497383888675
topic nr: 8
credit 0.0083829703208
reform 0.00570884530878
enterprise 0.00565025628143
mexico 0.00472914295467
inflation 0.00455793135643
refugee 0.00449395837094
integration 0.00426914743669
topic nr: 9
round 0.00918496925232
airline 0.00653496812233
apple 0.00573061845146
beat 0.00568961142991
audit 0.00555508452721
azam 0.005358724145
flight 0.00514371675018
