tz-last-year.txt
k=13
Log Likelihood=nan
Perplexity=nan
topic nr: 0
appellant 0.01145246078
employer 0.0111546087739
mexico 0.00960405351914
incident 0.00916914314563
airline 0.00762468327833
trial 0.00753983020444
christmas 0.00742707909361
topic nr: 1
desk 0.00858379661091
servant 0.00832443793585
audit 0.00761026450533
waste 0.00691911600327
procurement 0.00662431009834
kagera 0.00625035629664
municipal 0.00596260457511
topic nr: 2
ultra 0.00969852813706
package 0.0077616953206
drama 0.00755785754896
connected 0.00713851065717
dish 0.00701284684261
australia 0.00668534684938
on-demand 0.00667374121618
topic nr: 3
camp 0.0120569095923
speaker 0.0115321852347
refugee 0.00735741998252
thank 0.00568885730536
ruling 0.00535656611636
agribusiness 0.00516649784627
uhuru 0.00503608380146
topic nr: 4
serengeti 0.00846923887435
conservation 0.00799631548068
coast 0.00659379884565
door 0.00597316487852
cheetah 0.00531564980361
rain 0.00509011177667
qualifier 0.00488756278207
topic nr: 5
constitution 0.00678084083463
poll 0.0065989185287
electoral 0.00626995920259
isle 0.00598598007637
presidential 0.00570894253778
soccer 0.005249936793
panel 0.00502916715937
topic nr: 6
insurance 0.0119406522541
pregnancy 0.00714345355143
villager 0.00694514621766
demolition 0.00605870211521
compensation 0.00583911601995
elderly 0.00549977066312
cattle 0.00548170455354
topic nr: 7
format 0.00885728362312
hispanic 0.00666509233887
rally 0.00589846119133
respondent 0.00585972918849
car 0.00581735816536
championship 0.00581194160477
youtube 0.00579780975929
topic nr: 8
manufacturing 0.00938551309825
kenyatta 0.00830965893994
manufacturer 0.00728353223105
plastic 0.00666647348093
miner 0.00658870852432
impose 0.00537109238796
commodity 0.00536177359055
topic nr: 9
marriage 0.0105526388721
nyerere 0.00813806890937
art 0.00699884882831
feed 0.00618896841084
tarime 0.00618569933324
booklet 0.00594381749742
malaria 0.00465839676453
topic nr: 10
lake 0.0116853847687
fishery 0.00818409874772
fishing 0.00758240864042
saturday 0.00530312018415
drink 0.00525181549685
beat 0.00507689936829
victoria 0.00506731431982
topic nr: 11
sanitation 0.00908680387402
reform 0.00895686761769
prison 0.00866676544133
housing 0.00728116820432
master 0.00639178697838
toilet 0.00628615996952
improved 0.00596857810372
topic nr: 12
telco 0.0077604686911
currency 0.00699870440923
broadband 0.00631829973374
licence 0.00626279953516
confidence 0.00584369760767
segment 0.00583784250156
widow 0.00566365615166
