tz-last-year.txt
k=7
Log Likelihood=nan
Perplexity=nan
topic nr: 0
teacher 0.00653887123432
learn 0.00558067614508
chinese 0.00494096454296
thing 0.00473499206272
primary 0.00453469038905
hospital 0.00445608512085
man 0.00437342139061
topic nr: 1
building 0.0100895981106
infrastructure 0.008751175124
energy 0.00859411470493
construction 0.00823565464509
plant 0.00699205376999
gas 0.00663425740316
population 0.00655585297759
topic nr: 2
uganda 0.00868683417311
relation 0.00785284622706
award 0.0077952052586
publish 0.00668125479473
rwanda 0.00649234524685
article 0.0061232926617
headquarters 0.00595636833707
topic nr: 3
political 0.00916543659081
simba 0.00641912146367
star 0.00624845232969
yanga 0.00611093209084
side 0.00574097019112
premier 0.00530161091244
minute 0.00516712603552
topic nr: 4
audience 0.00869975505929
consumer 0.00834017489009
online 0.00783149114946
operator 0.00769590921674
user 0.00731718671563
stream 0.00707376070782
provider 0.00700462087634
topic nr: 5
worker 0.00534755320719
port 0.00524776790119
legal 0.00519558412357
amount 0.00504368991363
meeting 0.0050188060399
commissioner 0.00486275907221
justice 0.00481103580008
topic nr: 6
firm 0.00692605318211
compare 0.00692569174997
percent 0.00682494153765
rate 0.0066383906216
risk 0.0052776679601
despite 0.00492286209146
quarter 0.00457096964557
