us-last-year.txt
k=7
Log Likelihood=-61929722.3728
Perplexity=17.4769972766
topic nr: 0
equality 0.00133518060544
electoral 0.00131926273514
parenthood 0.00130125912528
romney 0.00125565265436
cavalier 0.00125032253244
objectionable 0.00122733500503
inequality 0.00122139294677
libertarian 0.00119617513647
scalia 0.00119471445231
crawford 0.00119316960121
topic nr: 1
packer 0.00144339026944
interception 0.00142292461444
concussion 0.00141610134487
massacre 0.00140932849406
mosul 0.00139200321233
pentagon 0.00139012638919
bennett 0.00139006486736
newton 0.00137443194709
detain 0.00136086363479
connelly 0.00135433933804
topic nr: 2
radiation 0.001354537576
ecosystem 0.0013519359774
immune 0.00133774571455
toxic 0.00132890115144
vaccine 0.00132111912911
alzheimer 0.00127777035991
lung 0.001271898315
diagnosis 0.00125819955075
cluster 0.00125194490483
exploration 0.00123620772982
topic nr: 3
sidewalk 0.001371581941
cake 0.001344199199
ranch 0.00134016118385
thanksgiving 0.00133158283474
courthouse 0.00132531434451
autopsy 0.00132330981346
pedestrian 0.00127652758357
brick 0.00126871732959
hunting 0.00126457128733
redistribute 0.00126143363828
topic nr: 4
hood 0.00143034414463
trek 0.0014219769933
tire 0.00141811842509
hitter 0.00141044163338
garcia 0.00140339007925
yankee 0.00136948521073
melissa 0.00136603016699
warfare 0.00135452127693
rear 0.00134957432104
meyer 0.00130397043261
topic nr: 5
treasury 0.00138238300836
marketplace 0.00136679925468
inspector 0.00133211726835
bankruptcy 0.00132391022246
thomson 0.00132260253091
patent 0.00132137792275
cigarette 0.00131620462547
commodity 0.00130184794368
accountability 0.00129976172519
tobacco 0.00127949556817
topic nr: 6
nintendo 0.00111265413651
rapper 0.00109439334322
opera 0.00109306070071
vocal 0.00106046523043
genius 0.00103261567656
yoga 0.00102820247594
xbox 0.0010231561908
rap 0.00101794633763
animated 0.00101600367027
sequel 0.000998588563779
