za-last-year.txt
k=7
Log Likelihood=-34651385.2901
Perplexity=16.0426942177
topic nr: 0
israel 0.00233913333112
disrupt 0.00222184740547
sacp 0.00221703513125
dlamini 0.00213542055662
syrian 0.00210863307868
governing 0.0020908104926
chamber 0.00208732479053
nene 0.00200611489881
comrade 0.00199465568594
parliamentary 0.00196215163039
topic nr: 1
rider 0.00215345762809
beauty 0.00212801336016
wildlife 0.00211416020321
magic 0.00207437388616
actress 0.0020255368099
taste 0.00202410041287
designer 0.00197729167417
laugh 0.00196031023329
bird 0.00195337952772
chicken 0.00195166318534
topic nr: 2
crop 0.00242545936789
motorist 0.00235982288265
paramedic 0.00229589699444
donate 0.00229085681598
wound 0.00228503006933
gate 0.00224383294035
nearby 0.00223260519255
pakistan 0.00207910194425
korea 0.00207628306128
mexico 0.00201092197863
topic nr: 3
inequality 0.00211656213635
afrikaans 0.00203844702845
privilege 0.00194080234506
expression 0.00193710666146
uber 0.00193292222732
extraordinary 0.00190537535085
sudan 0.0018372569418
tartlet 0.00180346147056
independence 0.0017532949729
liberation 0.00173861887542
topic nr: 4
samsung 0.00224953149316
mental 0.00218207464655
subscriber 0.00207815548098
mode 0.00194344072877
educational 0.00192739659099
publisher 0.00190155003968
diagnosis 0.00185689427097
aids 0.00177097283546
text 0.00174105675072
blog 0.00172065312078
topic nr: 5
teammate 0.00220159117335
starting 0.00219876634033
warrior 0.0021312994569
villiers 0.00210936435848
celtic 0.00208124022048
xx_v 0.00206233752788
winning 0.00203091791972
fitness 0.00200508053668
steyn 0.00200084859157
arrow 0.0020004914679
topic nr: 6
downgrade 0.00215950365578
bloomberg 0.00215719949089
hong 0.00213774612906
efficiency 0.00213305379491
outlook 0.00212693729422
iron 0.00211720707731
spending 0.00211047375078
pound 0.00208549661061
fiscal 0.0020700965986
regulatory 0.00206742209437
